No.,Kanji
687,"② 誤 • -あやま.る, あやま.る, ゴ • mistake, err, do wrong, mislead"
688,"② 構 • かま.う, かま.える, コウ • posture, build, pretend"
689,"② 際 • -ぎわ, きわ, サイ • occasion, side, edge, verge, dangerous, adventurous, indecent, time, when"
690,"② 察 • サツ • guess, presume, surmise, judge, understand"
691,"② 雑 • まじ.る, まじ.える, ゾウ, ザツ • miscellaneous"
692,"② 誌 • シ • document, records"
693,"② 種 • -ぐさ, たね, シュ • species, kind, class, variety, seed"
694,"② 緒 • いとぐち, お, チョ, ショ • thong, beginning, inception, end, cord, strap"
695,"② 精 • シヤウ, ショウ, セイ • refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill"
696,"② 静 • しず.める, しず.まる, しず.か, しず-, ジョウ, セイ • quiet"
697,"② 説 • と.く, ゼイ, セツ • rumor, opinion, theory"
698,"② 層 • ソウ • stratum, social class, layer, story, floor"
699,"② 総 • ふさ, すべ.て, す.べて, ソウ • general, whole, all, full, total"
700,"② 像 • ゾウ • statue, picture, image, figure, portrait"
701,"② 増 • ふ.やす, ふ.える, ま.し, ま.す, ゾウ • increase, add, augment, gain, promote"
702,"② 憎 • にく.しみ, にく.らしい, にく.い, にく.む, ゾウ • hate, detest"
703,"② 滴 • したた.る, しずく, テキ • drip, drop"
704,"② 適 • かな.う, テキ • suitable, occasional, rare, qualified, capable"
705,"② 銅 • あかがね, ドウ • copper"
706,"② 認 • したた.める, みと.める, ニン • acknowledge, witness, discern, recognize, appreciate, believe"
707,"② 髪 • かみ, ハツ • hair of the head"
708,"② 複 • フク • duplicate, double, compound, multiple"
709,"② 暮 • く.らす, く.れる, ボ • livelihood, make a living, spend time"
710,"② 綿 • わた, メン • cotton"
711,"② 踊 • おど.る, ヨウ • jump, dance, leap, skip"
712,"② 領 • えり, リョウ • jurisdiction, dominion, territory, fief, reign"
713,"② 歴 • レッキ, レキ • curriculum, continuation, passage of time"
714,"② 鋭 • するど.い, エイ • pointed, sharpness, edge, weapon, sharp, violent"
715,"② 億 • オク • hundred million, 10**8"
716,"② 課 • カ • chapter, lesson, section, department, division, counter for chapters (of a book)"
717,"② 劇 • ゲキ • drama, play"
718,"② 権 • はか.る, かり, おもり, ゴン, ケン • authority, power, rights"
719,"② 賛 • たた.える, たす.ける, サン • approve, praise, title or inscription on picture, assist, agree with"
720,"② 諸 • もろ, ショ • various, many, several, together"
721,"② 賞 • ほ.める, ショウ • prize, reward, praise"
722,"② 震 • ふる.える, ふる.う, シン • quake, shake, tremble, quiver, shiver"
723,"② 蔵 • かく.れる, おさ.める, くら, ソウ, ゾウ • storehouse, hide, own, have, possess"
724,"② 駐 • チュウ • stop-over, reside in, resident"
725,"② 熱 • あつ.い, ネツ • heat, temperature, fever, mania, passion"
726,"② 膚 • はだ, フ • skin, body, grain, texture, disposition"
727,"② 舞 • まい, -ま.う, ま.う, ブ • dance, flit, circle, wheel"
728,"② 編 • -あ.み, あ.む, ヘン • compilation, knit, plait, braid, twist, editing, completed poem, part of a book"
729,"② 暴 • あば.れる, あば.く, バク, ボウ • outburst, rave, fret, force, violence, cruelty, outrage"
730,"② 輪 • わ, リン • wheel, ring, circle, link, loop, counter for wheels and flowers"
731,"② 論 • ロン • argument, discourse"
732,"② 機 • はた, キ • mechanism, opportunity, occasion, machine, airplane"
733,"② 賢 • かしこ.い, ケン • intelligent, wise, wisdom, cleverness"
734,"② 積 • つ.もり, つ.もる, -づ.み, つ.む, セキ • volume, product (x*y), acreage, contents, pile up, stack, load, amass"
735,"② 築 • きず.く, チク • fabricate, build, construct"
736,"② 曇 • くも.る, ドン • cloudy weather, cloud up"
737,"② 燃 • も.す, も.やす, も.える, ネン • burn, blaze, glow"
738,"② 濃 • こ.い, ノウ • concentrated, thick, dark, undiluted"
739,"② 薄 • すすき, うす.れる, うす.ら-, うす.らぐ, うす.まる, うす.める, -うす, うす-, うす.い, ハク • dilute, thin, weak (tea)"
740,"② 磨 • す.る, みが.く, マ • grind, polish, scour, improve, brush (teeth)"
741,"② 輸 • シュ, ユ • transport, send, be inferior"
742,"② 頼 • たよ.る, たの.もしい, たの.む, ライ • trust, request"
743,"② 講 • コウ • lecture, club, association"
744,"② 績 • セキ • exploits, unreeling cocoons"
745,"② 燥 • はしゃ.ぐ, ソウ • parch, dry up"
746,"② 濯 • ゆす.ぐ, すす.ぐ, タク • laundry, wash, pour on, rinse"
747,"② 優 • まさ.る, すぐ.れる, やさ.しい, ウ, ユウ • tenderness, excel, surpass, actor, superiority, gentleness"
748,"② 療 • リョウ • heal, cure"
749,"② 齢 • とし, よわ.い, レイ • age"
750,"② 簡 • カン • simplicity, brevity"
751,"② 職 • ソク, ショク • post, employment, work"
752,"② 贈 • おく.る, ソウ, ゾウ • presents, send, give to, award to, confer on, presenting something"
753,"② 難 • -にく.い, むつか.しい, むづか.しい, むずか.しい, -がた.い, かた.い, ナン • difficult, impossible, trouble, accident, defect"
754,"② 願 • -ねがい, ねが.う, ガン • petition, request, vow, wish, hope"
755,"② 警 • いまし.める, ケイ • admonish, commandment"
756,"② 識 • しる.す, し.る, シキ • discriminating, know, write"
757,"② 臓 • はらわた, ゾウ • entrails, viscera, bowels"
758,"② 爆 • は.ぜる, バク • bomb, burst open, pop, split"
759,"② 議 • ギ • deliberation, consultation, debate, consideration"
760,"② 競 • せ.る, きそ.う, ケイ, キョウ • emulate, compete with, bid, sell at auction, bout, contest, race"
761,"② 籍 • セキ • enroll, domiciliary register, membership"
762,"① 乙 • きのと, おと-, イツ, オツ • the latter, duplicate, strange, witty"
763,"① 丁 • ひのと, チ, トウ, チン, テイ, チョウ • street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign"
764,"① 刀 • そり, かたな, トウ • sword, saber, knife"
765,"① 又 • また.の-, また-, また, ユウ • or again, furthermore, on the other hand"
766,"① 及 • およ.ぼす, および, およ.び, およ.ぶ, キュウ • reach out, exert, exercise, cause"
767,"① 弓 • ゆみ, キュウ • bow, bow (archery, violin)"
768,"① 己 • な, つちのと, おのれ, キ, コ • self, snake, serpent"
769,"① 士 • シ • gentleman, samurai"
770,"① 丈 • だけ, たけ, ジョウ • length, 10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely"
771,"① 刃 • き.る, やいば, は, ニン, ジン • blade, sword, edge"
772,"① 寸 • スン • measurement, foot/10"
773,"① 凡 • すべ.て, おうよ.そ, およ.そ, ハン, ボン • mediocre"
774,"① 井 • い, ショウ, セイ • well, well crib, town, community"
775,"① 刈 • か.る, カイ, ガイ • reap, cut, clip, trim, prune"
776,"① 凶 • キョウ • villain, evil, bad luck, disaster"
777,"① 斤 • キン • axe, 1.32 lb, catty, counter for loaves of bread"
778,"① 幻 • まぼろし, ゲン • phantasm, vision, dream, illusion, apparition"
779,"① 孔 • あな, コウ • cavity, hole, slit, very, great, exceedingly"
780,"① 氏 • -うじ, うじ, シ • family name, surname, clan"
781,"① 尺 • シャク • shaku, Japanese foot, measure, scale, rule"
782,"① 升 • ます, ショウ • measuring box, 1.8 liter"
783,"① 冗 • ジョウ • superfluous, uselessness"
784,"① 仁 • ニン, ニ, ジン • humanity, virtue, benevolence, charity, man, kernel"
785,"① 丹 • に, タン • rust-colored, red, red lead, pills"
786,"① 弔 • とぶら.う, とむら.う, チョウ • condolences, mourning, funeral"
787,"① 斗 • トウ, ト • Big Dipper, 10 sho (vol), sake dipper"
788,"① 屯 • トン • barracks, police station, camp"
789,"① 乏 • とも.しい, とぼ.しい, ボウ • destitution, scarce, limited"
790,"① 厄 • ヤク • unlucky, misfortune, bad luck, disaster"
791,"① 凹 • ぼこ, へこ.む, くぼ.む, オウ • concave, hollow, sunken"
792,"① 且 • か.つ, ショウ, ソ, ショ • moreover, also, furthermore"
793,"① 丘 • おか, キュウ • hill, knoll"
794,"① 句 • ク • phrase, clause, sentence, passage, paragraph, counter for haiku"
795,"① 穴 • あな, ケツ • hole, aperture, slit, cave, den"
796,"① 玄 • ゲン • mysterious, occultness"
797,"① 功 • いさお, ク, コウ • achievement, merits, success, honor, credit"
798,"① 巧 • うま.い, たく.む, たく.み, コウ • adroit, skilled, ingenuity"
799,"① 甲 • きのえ, カ, カン, コウ • armor, high (voice), A grade, first class, former, instep, carapace"
800,"① 司 • つかさど.る, シ • director, official, govt office, rule, administer"
801,"① 囚 • とら.われる, シュウ • captured, criminal, arrest, catch"
802,"① 汁 • つゆ, -しる, しる, ジュウ • soup, juice, broth, sap, gravy, pus"
803,"① 斥 • しりぞ.ける, セキ • reject, retreat, recede, withdraw, repel, repulse"
804,"① 仙 • セント, セン • hermit, wizard, cent"
805,"① 旦 • あした, あさ, ただし, あきら, あき.らか, ダン, タン • daybreak, dawn, morning"
806,"① 奴 • やっこ, やつ, ド • guy, slave, manservant, fellow"
807,"① 凸 • でこ, トツ • convex, beetle brow, uneven"
808,"① 尼 • あま, ニ • nun"
809,"① 丙 • ひのえ, ヘイ • third class, 3rd, 3rd calendar sign"
810,"① 弁 • あらそ.う, はなびら, わ.ける, わきま.える, ヘン, ベン • valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish"
811,"① 矛 • ほこ, ボウ, ム • halberd, arms, festival float"
812,"① 矢 • や, シ • dart, arrow"
813,"① 扱 • こ.く, あつか.る, あつか.う, あつか.い, キュウ, ソウ • handle, entertain, thresh, strip"
814,"① 芋 • いも, ウ • potato"
815,"① 企 • たくら.む, くわだ.てる, キ • undertake, scheme, design, attempt, plan"
816,"① 伎 • わざおぎ, わざ, キ, ギ • deed, skill"
817,"① 吉 • よし, キツ, キチ • good luck, joy, congratulations"
818,"① 朽 • く.ちる, キュウ • decay, rot, remain in seclusion"
819,"① 仰 • おっしゃ.る, お.っしゃる, おお.せ, あお.ぐ, コウ, ギョウ • face-up, look up, depend, seek, respect, rever, drink, take"
820,"① 刑 • ケイ • punish, penalty, sentence, punishment"
821,"① 后 • きさき, ゴ, コウ • empress, queen, after, behind, back, later"
822,"① 江 • え, コウ • creek, inlet, bay"
823,"① 旨 • うま.い, むね, シ • delicious, relish, show a liking for, purport, will, clever, expert"
824,"① 至 • いた.る, シ • climax, arrive, proceed, reach, attain, result in"
825,"① 芝 • しば, シ • turf, lawn"
826,"① 朱 • あけ, シュ • vermilion, cinnabar, scarlet, red, bloody"
827,"① 充 • み.たす, あ.てる, ジュウ • allot, fill"
828,"① 旬 • シュン, ジュン • decameron, 10day period, season (for specific products"
829,"① 巡 • めぐ.り, めぐ.る, ジュン • patrol, go around, circumference"
830,"① 匠 • たくみ, ショウ • artisan, workman, carpenter"
831,"① 尽 • つき, つか, ことごと.く, さかづき, つ.かす, つ.きる, -ず.く, -づ.く, -つ.く, -づ.くし, -つ.くす, つ.くす, サン, ジン • exhaust, use up, run out of, deplete, befriend, serve"
832,"① 迅 • ジン • swift, fast"
833,"① 舌 • した, ゼツ • tongue, reed, clapper"
834,"① 壮 • さかん, ソウ • robust, manhood, prosperity"
835,"① 吐 • つ.く, は.く, ト • spit, vomit, belch, confess, tell (lies)"
836,"① 弐 • そえ, ふた.つ, ジ, ニ • II, two, second"
837,"① 如 • ごと.し, ニョ, ジョ • likeness, like, such as, as if, better, best, equal"
838,"① 伐 • う.つ, そむ.く, き.る, ボチ, カ, ハツ, バツ • fell, strike, attack, punish"
839,"① 帆 • ほ, ハン • sail"
840,"① 妃 • きさき, ヒ • queen, princess"
841,"① 伏 • ふ.す, ふ.せる, フク • prostrated, bend down, bow, cover, lay (pipes)"
842,"① 朴 • えのき, ほお, ほう, ボク • crude, simple, plain, docile"
843,"① 妄 • みだ.りに, ボウ, モウ • delusion, unnecessarily, without authority, reckless"
844,"① 羊 • ひつじ, ヨウ • sheep"
845,"① 吏 • リ • officer, an official"
846,"① 劣 • おと.る, レツ • inferiority, be inferior to, be worse"
847,"① 亜 • つ.ぐ, アシア, ア • Asia, rank next, come after, -ous"
848,"① 壱 • ひとつ, イツ, イチ • I, one"
849,"① 応 • こた.える, まさに, あた.る, -ノウ, ヨウ, オウ • apply, answer, yes, OK, reply, accept"
850,"① 沖 • わく, ちゅう.する, おきつ, おき, チュウ • open sea, offing, rise high into sky"
851,"① 我 • わが-, わ.が-, わ, われ, ガ • ego, I, selfish, our, oneself"
852,"① 戒 • いまし.める, カイ • commandment"
853,"① 肝 • きも, カン • liver, pluck, nerve, chutzpah"
854,"① 岐 • ギ, キ • branch off, fork in road, scene, arena, theater"
855,"① 忌 • い.まわしい, い.み, い.む, キ • mourning, abhor, detestable, death anniversary"
856,"① 汽 • キ • vapor, steam"
857,"① 却 • しりぞ.ける, しりぞ.く, かえ.って, キャク • instead, on the contrary, rather"
858,"① 狂 • くるお.しい, くる.おしい, くる.う, キョウ • lunatic, insane, crazy, confuse"
859,"① 吟 • ギン • versify, singing, recital"
860,"① 系 • ケイ • lineage, system"
861,"① 呉 • くれ, く.れる, ゴ • give, do something for"
862,"① 坑 • コウ • pit, hole"
863,"① 孝 • キョウ, コウ • filial piety, child's respect"
864,"① 抗 • コウ • confront, resist, defy, oppose"
865,"① 攻 • せ.める, コウ • aggression, attack"
866,"① 克 • か.つ, コク • overcome, kindly, skillfully"
867,"① 佐 • サ • assistant, help"
868,"① 沙 • よなげる, すな, シャ, サ • sand"
869,"① 災 • わざわ.い, サイ • disaster, calamity, woe, curse, evil"
870,"① 志 • こころざし, こころざ.す, シリング, シ • intention, plan, resolve, aspire, motive, hopes, shilling"
871,"① 寿 • ことほ.ぐ, ことぶ.く, ことぶき, シュウ, ス, ジュ • longevity, congratulations, one's natural life"
872,"① 秀 • ひい.でる, シュウ • excel, excellence, beauty, surpass"
873,"① 序 • ついで, つい.で, ジョ • preface, beginning, order, precedence, occasion, chance, incidentally"
874,"① 抄 • ショウ • extract, selection, summary, copy, spread thin"
875,"① 肖 • あやか.る, ショウ • resemblance"
876,"① 条 • すじ, えだ, デキ, チョウ, ジョウ • article, clause, item, stripe, streak"
877,"① 杉 • すぎ, サン • cedar, cryptomeria"
878,"① 即 • すなわ.ち, つ.ける, つ.く, ソク • instant, namely, as is, conform, agree, adapt"
879,"① 汰 • よな.げる, にご.る, おご.る, タイ, タ • luxury, select"
880,"① 択 • えら.ぶ, タク • choose, select, elect, prefer"
881,"① 沢 • つや, うるお.す, うるお.い, さわ, タク • swamp"
882,"① 但 • ただ.し, タン • however, but"
883,"① 呈 • テイ • display, offer, present, send, exhibit"
884,"① 廷 • テイ • courts, imperial court, government office"
885,"① 豆 • まめ-, まめ, ズ, トウ • beans, pea, midget"
886,"① 那 • いかん, なんぞ, なに, ダ, ナ • what?"
887,① 尿 • ニョウ • urine
888,"① 妊 • みごも.る, はら.む, ジン, ニン • pregnancy"
889,"① 忍 • しの.ばせる, しの.ぶ, ニン • endure, bear, put up with, conceal, secrete, spy, sneak"
890,"① 把 • ワ, ハ • grasp, faggot, bunch, counter for bundles"
891,"① 伯 • ハク • chief, count, earl, uncle, Brazil"
892,"① 伴 • ともな.う, バン, ハン • consort, accompany, bring with, companion"
893,"① 批 • ヒ • criticism, strike"
894,"① 尾 • お, ビ • tail, end, counter for fish, lower slope of mountain"
895,"① 扶 • たす.ける, フ • aid, help, assist"
896,"① 芳 • かんば.しい, ホウ • perfume, balmy, flavorable, fragrant"
897,"① 邦 • くに, ホウ • home country, country, Japan"
898,"① 妨 • さまた.げる, ボウ • disturb, prevent, hamper, obstruct"
899,"① 没 • ない, しず.む, おぼ.れる, モツ, ボツ • drown, sink, hide, fall into, disappear, die"
900,"① 妙 • たえ, ビョウ, ミョウ • exquisite, strange, queer, mystery, miracle, excellent, delicate, charming"
901,"① 冶 • い.る, ヤ • melting, smelting"
902,"① 抑 • おさ.える, ヨク • repress, well, now, in the first place, push, shove, press, seal, do in spite of"
903,"① 里 • さと, リ • ri, village, parent's home, league"
904,"① 励 • はげ.ます, はげ.む, レイ • encourage, be diligent, inspire"
905,"① 呂 • せぼね, リョ, ロ • spine, backbone"
906,"① 沿 • -ぞ.い, そ.う, エン • run alongside, follow along, run along, lie along"
907,"① 炎 • ほのお, エン • inflammation, flame, blaze"
908,"① 往 • ゆ.く, さき.に, いにしえ, い.く, オウ • journey, chase away, let go, going, travel"
909,"① 旺 • さかん, うつくし.い, かがや.き, ゴウ, キョウ, オウ • flourishing, successful, beautiful, vigorous"
910,"① 殴 • なぐ.る, オウ • assault, hit, beat, thrash"
911,"① 価 • あたい, ケ, カ • value, price"
912,"① 佳 • カ • excellent, beautiful, good, pleasing, skilled"
913,"① 芽 • め, ガ • bud, sprout, spear, germ"
914,"① 怪 • あや.しむ, あや.しい, ケ, カイ • suspicious, mystery, apparition"
915,"① 拐 • カイ • kidnap, falsify"
916,"① 劾 • ガイ • censure, criminal investigation"
917,"① 拡 • ひろ.める, ひろ.げる, ひろ.がる, コウ, カク • broaden, extend, expand, enlarge"
918,"① 岳 • たけ, ガク • point, peak, mountain"
919,"① 奇 • めずら.しい, くし, あや.しい, く.しき, キ • strange, strangeness, curiosity"
920,"① 宜 • よろ.しく, よろ.しい, ギ • best regards, good"
921,"① 拒 • こば.む, ゴ, キョ • repel, refuse, reject, decline"
922,"① 拠 • よ.る, コ, キョ • foothold, based on, follow, therefore"
923,"① 享 • う.ける, コウ, キョウ • receive, undergo, answer (phone), take, get, catch"
924,"① 屈 • かが.める, かが.む, クツ • yield, bend, flinch, submit"
925,"① 径 • ただちに, さしわたし, こみち, みち, ケイ • diameter, path, method"
926,"① 茎 • くき, キョウ, ケイ • stalk, stem"
927,"① 弦 • つる, ゲン • bowstring, chord, hypotenuse"
928,"① 虎 • とら, コ • tiger, drunkard"
929,"① 拘 • かか.わる, コウ • arrest, seize, concerned, adhere to, despite"
930,"① 昆 • コン • descendants, elder brother, insect"
931,"① 采 • いろどり, と.る, サイ • dice, form, appearance, take, coloring"
932,"① 祉 • シ • welfare, happiness"
933,"① 肢 • シ • limb, arms & legs"
934,"① 侍 • はべ.る, さむらい, シ, ジ • waiter, samurai, wait upon, serve"
935,"① 舎 • やど.る, セキ, シャ • cottage, inn, hut, house, mansion"
936,"① 邪 • よこし.ま, ジャ • wicked, injustice, wrong"
937,"① 宗 • むね, ソウ, シュウ • religion, sect, denomination, main point, origin, essence"
938,"① 叔 • シュク • uncle, youth"
939,"① 尚 • なお, ショウ • esteem, furthermore, still, yet"
940,"① 松 • まつ, ショウ • pine tree"
941,"① 沼 • ぬま, ショウ • marsh, lake, bog, swamp, pond"
942,"① 垂 • なんなんと.す, -た.れ, た.れ, た.らす, た.れる, スイ • droop, suspend, hang, slouch"
943,"① 炊 • -だ.き, た.く, スイ • cook, boil"
944,"① 枢 • からくり, とぼそ, シュ, スウ • hinge, pivot, door"
945,"① 征 • セイ • subjugate, attack the rebellious, collect taxes"
946,"① 斉 • はやい, あたる, ひと.しく, ひと.しい, そろ.う, サイ, セイ • adjusted, alike, equal, similar variety of"
947,"① 析 • セキ • chop, divide, tear, analyze"
948,"① 拙 • つたな.い, セツ • bungling, clumsy, unskillful"
949,"① 阻 • はば.む, ソ • thwart, separate from, prevent, obstruct, deter, impede"
950,"① 卓 • タク • eminent, table, desk, high"
951,"① 拓 • ひら.く, タク • clear (the land), open, break up (land)"
952,"① 宙 • チュウ • mid-air, air, space, sky, memorization, interval of time"
953,"① 忠 • チュウ • loyalty, fidelity, faithfulness"
954,"① 抽 • ひき-, チュウ • pluck, pull, extract, excel"
955,"① 坪 • つぼ, ヘイ • two-mat area, ~36 sq ft"
956,"① 抵 • テイ • resist, reach, touch"
957,"① 邸 • やしき, テイ • residence, mansion"
958,"① 迭 • テツ • transfer, alternation"
959,"① 典 • デン, テン • code, ceremony, law, rule"
960,"① 奈 • からなし, いかん, ダイ, ナイ, ナ • Nara, what?"
961,"① 拍 • ヒョウ, ハク • clap, beat (music)"
962,"① 迫 • せま.る, ハク • urge, force, imminent, spur on"
963,"① 披 • ヒ • expose, open"
964,"① 泌 • ヒ, ヒツ • ooze, flow, soak in, penetrate, secrete"
965,"① 肥 • ふと.る, こ.やし, こ.やす, こえ, こ.える, ヒ • fertilizer, get fat, fertile, manure, pamper"
966,"① 苗 • なわ-, なえ, ミョウ, ビョウ • seedling, sapling, shoot"
967,"① 附 • つ.く, つ.ける, フ • affixed, attach, refer to, append"
968,"① 侮 • あなず.る, あなど.る, ブ • scorn, despise, make light of, contempt"
969,"① 併 • あわ.せる, ヘイ • join, get together, unite, collective"
970,"① 奉 • ほう.ずる, まつ.る, たてまつ.る, ブ, ホウ • observance, offer, present, dedicate"
971,"① 泡 • あわ, ホウ • bubbles, foam, suds, froth"
972,"① 房 • ふさ, ボウ • tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room"
973,"① 肪 • ボウ • obese, fat"
974,"① 牧 • まき, ボク • breed, care for, shepherd, feed, pasture"
975,"① 奔 • はし.る, ホン • run, bustle"
976,"① 抹 • マツ • rub, paint, erase"
977,"① 岬 • みさき, コウ • headland, cape, spit, promontory"
978,"① 免 • まぬが.れる, まぬか.れる, メン • excuse, dismissal"
979,"① 茂 • しげ.る, モ • overgrown, grow thick, be luxuriant"
980,"① 盲 • めくら, モウ • blind, blind man, ignoramus"
981,"① 弥 • わた.る, ひさ.しい, ひさし, とおい, いよいよ, あまねし, や, いや, ビ, ミ • all the more, increasingly"
982,"① 炉 • いろり, ロ • hearth, furnace, kiln, reactor"
983,"① 枠 • わく • frame, framework, spindle, spool, bounding-box, (kokuji)"
984,"① 哀 • かな.しい, あわ.れむ, あわ.れ, アイ • pathetic, grief, sorrow, pathos, pity, sympathize"
985,"① 威 • おど.かす, おど.し, おど.す, イ • intimidate, dignity, majesty, menace, threaten"
986,"① 為 • なり, つく.る, たり, す.る, な.す, な.る, ため, イ • do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of"
987,"① 姻 • イン • matrimony, marry"
988,"① 疫 • ヤク, エキ • epidemic"
989,"① 卸 • おろ.し, おろし, おろ.す, シャ • wholesale"
990,"① 架 • か.かる, か.ける, カ • erect, frame, mount, support, shelf, construct"
991,"① 悔 • くや.しい, く.やむ, く.いる, カイ • repent, regret"
992,"① 垣 • かき, エン • hedge, fence, wall"
993,"① 括 • くく.る, カツ • fasten, tie up, arrest, constrict"
994,"① 冠 • かんむり, カン • crown, best, peerless"
995,"① 看 • み.る, カン • watch over, see"
996,"① 紀 • キ • chronicle, account, narrative, history, annals, geologic period"
997,"① 軌 • キ • rut, wheel, track, model, way of doing"
998,"① 虐 • しいた.げる, ギャク • tyrannize, oppress"
999,"① 級 • キュウ • class, rank, grade"
1000,"① 糾 • ただ.す, キュウ • twist, ask, investigate, verify"
1001,"① 峡 • はざま, コウ, キョウ • gorge, ravine"
1002,"① 狭 • さ, せば.まる, せば.める, せま.い, コウ, キョウ • cramped, narrow, contract, tight"
1003,"① 契 • ちぎ.る, ケイ • pledge, promise, vow"
1004,"① 孤 • コ • orphan, alone"
1005,"① 弧 • コ • arc, arch, bow"
1006,"① 故 • もと, ふる.い, ゆえ, コ • happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently"
1007,"① 侯 • コウ • marquis, lord, daimyo"
1008,"① 恒 • つねに, つね, コウ • constancy, always"
1009,"① 洪 • コウ • deluge, flood, vast"
1010,"① 皇 • オウ, コウ • emperor"
1011,"① 拷 • ゴウ • torture, beat"
1012,"① 恨 • うら.めしい, うら.む, コン • regret, bear a grudge, resentment, malice, hatred"
1013,"① 砕 • くだ.ける, くだ.く, サイ • smash, break, crush, familiar, popular"
1014,"① 削 • そ.ぐ, はつ.る, けず.る, サク • plane, sharpen, whittle, pare"
1015,"① 姿 • すがた, シ • figure, form, shape"
1016,"① 施 • ほどこ.す, セ, シ • alms, apply bandages, administer first-aid"
1017,"① 狩 • -が.り, か.り, か.る, シュ • hunt, raid, gather"
1018,"① 臭 • にお.い, にお.う, -くさ.い, くさ.い, シュウ • stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright"
1019,"① 俊 • シュン • sagacious, genius, excellence"
1020,"① 盾 • たて, ジュン • shield, escutcheon, pretext"
1021,"① 叙 • ついで, つい.ず, ジョ • confer, relate, narrate, describe"
1022,"① 昭 • ショウ • shining, bright, Showa period"
1023,"① 浄 • きよ.い, きよ.める, セイ, ジョウ • clean, purify, cleanse, exorcise, Manchu Dynasty"
1024,"① 侵 • おか.す, シン • encroach, invade, raid, trespass, violate"
1025,"① 甚 • はなは.だしい, はなは.だ, ジン • tremendously, very, great, exceedingly"
1026,"① 帥 • スイ • commander, leading troops, governor"
1027,"① 是 • ここ, この, これ, シ, ゼ • just so, this, right, justice"
1028,"① 牲 • セイ • animal sacrifice, offering"
1029,"① 窃 • ひそ.か, ぬす.む, セツ • stealth, steal, secret, private, hushed"
1030,"① 宣 • のたま.わく, のたま.う, セン • proclaim, say, announce"
1031,"① 染 • -し.める, し.み, -じ.みる, し.みる, そ.まる, -ぞめ, -ぞ.め, そ.める, セン • dye, color, paint, stain, print"
1032,"① 奏 • かな.でる, ソウ • play music, speak to a ruler, complete"
1033,"① 荘 • おごそ.か, ほうき, チャン, ショウ, ソウ • villa, inn, cottage, feudal manor"
1034,"① 促 • うなが.す, ソク • stimulate, urge, press, demand, incite"
1035,"① 俗 • ゾク • vulgar, customs, manners, worldliness, mundane things"
1036,"① 耐 • た.える, タイ • -proof, enduring"
1037,"① 怠 • なま.ける, おこた.る, タイ • neglect, laziness"
1038,"① 胎 • タイ • womb, uterus"
1039,"① 胆 • きも, タン • gall bladder, courage, pluck, nerve"
1040,"① 衷 • チュウ • inmost, heart, mind, inside"
1041,"① 挑 • いど.む, チョウ • challenge, contend for, make love to"
1042,"① 勅 • みことのり, いまし.める, チョク • imperial order"
1043,"① 津 • つ, シン • haven, port, harbor, ferry"
1044,"① 亭 • チン, テイ • pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name"
1045,"① 貞 • さだ, テイ • upright, chastity, constancy, righteousness"
1046,"① 帝 • みかど, テイ • sovereign, the emperor, god, creator"
1047,"① 訂 • テイ • revise, correct, decide"
1048,"① 洞 • ほら, ドウ • den, cave, excavation"
1049,"① 峠 • とうげ • mountain peak, mountain pass, climax, crest, (kokuji)"
1050,"① 独 • ひと.り, トク, ドク • single, alone, spontaneously, Germany"
1051,"① 虹 • にじ, コウ • rainbow"
1052,"① 派 • ハ • faction, group, party, clique, sect, school"
1053,① 肺 • ハイ • lungs
1054,"① 卑 • いや.しめる, いや.しむ, いや.しい, ヒ • lowly, base, vile, vulgar"
1055,"① 眉 • まゆ, ミ, ビ • eyebrow"
1056,"① 赴 • おもむ.く, フ • proceed, get, become, tend"
1057,"① 柄 • つか, え, がら, ヘイ • design, pattern, build, nature, handle, crank, grip, knob, shaft"
1058,"① 保 • たも.つ, ホウ, ホ • protect, guarantee, keep, preserve, sustain, support"
1059,"① 胞 • ホウ • placenta, sac, sheath"
1060,"① 某 • なにがし, それがし, ボウ • so-and-so, one, a certain, that person"
1061,"① 冒 • おか.す, ボウ • risk, face, defy, dare, damage, assume (a name)"
1062,"① 盆 • ボン • basin, lantern festival, tray"
1063,"① 柳 • やなぎ, リュウ • willow"
1064,"① 幽 • しろ.い, くら.い, かす.か, ふか.い, ヨウ, ユウ • seclude, confine to a room, deep, profound, secluded, faint, dark, tranquil, calm"
1065,"① 厘 • リン • rin, 1/10sen, 1/10bu"
1066,"① 郎 • おとこ, リョウ, ロウ • son, counter for sons"
1067,"① 案 • つくえ, アン • plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry"
1068,"① 唄 • うた.う, うた, バイ • songs with samisen"
1069,"① 浦 • うら, ホ • bay, creek, inlet, gulf, beach, seacoast"
1070,"① 益 • ま.す, ヤク, エキ • benefit, gain, profit, advantage"
