No.,Kanji
155,"③ 通 • かよ.う, -どお.し, とお.し, とお.す, -どお.り, -とお.り, とお.り, とお.る, ツ, ツウ • traffic, pass through, avenue, commute, counter for letters, notes, documents, etc."
156,"③ 庭 • にわ, テイ • courtyard, garden, yard"
157,"③ 島 • しま, トウ • island"
158,"③ 能 • よ.く, ノウ • ability, talent, skill, capacity"
159,"③ 馬 • ま, うま-, うま, バ • horse"
160,"③ 配 • くば.る, ハイ • distribute, spouse, exile, rationing"
161,"③ 倍 • バイ • double, twice, times, fold"
162,"③ 流 • -なが.す, なが.す, なが.れ, なが.れる, ル, リュウ • current, a sink, flow, forfeit"
163,"③ 留 • るうぶる, とど.まる, とど.める, と.まる, と.める, ル, リュウ • detain, fasten, halt, stop"
164,"③ 黄 • こ-, き, オウ, コウ • yellow"
165,"③ 球 • たま, キュウ • ball, sphere"
166,"③ 教 • おそ.わる, おし.える, キョウ • teach, faith, doctrine"
167,"③ 混 • こ.む, ま.ぜる, ま.ざる, -ま.じり, ま.じる, コン • mix, blend, confuse"
168,"③ 祭 • まつり, まつ.り, まつ.る, サイ • ritual, offer prayers, celebrate, deify, enshrine, worship"
169,"③ 細 • こま.かい, こま.か, ほそ.る, ほそ.い, サイ • dainty, get thin, taper, slender, narrow"
170,"③ 終 • つい.に, つい, お.える, おわ.る, -お.わる, お.わる, シュウ • end, finish"
171,"③ 宿 • やど.す, やど.る, やど, シュク • inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling"
172,"③ 術 • すべ, ジュツ • art, technique, skill, means, trick, resources, magic"
173,"③ 商 • あきな.う, ショウ • make a deal, selling, dealing in, merchant"
174,"③ 章 • ショウ • badge, chapter, composition, poem, design"
175,"③ 常 • とこ-, つね, ジョウ • usual, ordinary, normal, regular"
176,"③ 情 • なさ.け, セイ, ジョウ • feelings, emotion, passion, sympathy, circumstances, facts"
177,"③ 深 • み-, ふか.める, ふか.まる, -ぶか.い, ふか.い, シン • deep, heighten, intensify, strengthen"
178,"③ 進 • すす.める, すす.む, シン • advance, proceed, progress, promote"
179,"③ 清 • きよ.める, きよ.まる, きよ.い, シン, ショウ, セイ • pure, purify, cleanse, exorcise, Manchu dynasty"
180,"③ 雪 • ゆき, セツ • snow"
181,"③ 船 • ふな-, ふね, セン • ship, boat"
182,"③ 組 • -ぐみ, くみ, く.む, ソ • association, braid, plait, construct, assemble, unite, cooperate, grapple"
183,"③ 側 • そば, がわ, かわ, ソク • side, lean, oppose, regret"
184,"③ 断 • さだ.める, ことわ.る, た.つ, ダン • severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting"
185,"③ 都 • みやこ, ツ, ト • metropolis, capital"
186,"③ 堂 • ドウ • public chamber, hall"
187,"③ 部 • -べ, ブ • section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine"
188,"③ 望 • もち, のぞ.む, モウ, ボウ • ambition, full moon, hope, desire, aspire to, expect"
189,"③ 雲 • -ぐも, くも, ウン • cloud"
190,"③ 営 • いとな.み, いとな.む, エイ • occupation, camp, perform, build, conduct (business)"
191,"③ 温 • ぬく, あたた.める, あたた.まる, あたた.かい, あたた.か, オン • warm"
192,"③ 絵 • エ, カイ • picture, drawing, painting, sketch"
193,"③ 階 • きざはし, カイ • storey, stair, counter for storeys of a building"
194,"③ 寒 • さむ.い, カン • cold"
195,"③ 期 • ゴ, キ • period, time, date, term"
196,"③ 勤 • いそ.しむ, つと.まる, -づと.め, つと.める, ゴン, キン • diligence, become employed, serve"
197,"③ 軽 • かろ.んじる, かろ.やか, かる.い, ケイ • lightly, trifling, unimportant"
198,"③ 検 • しら.べる, ケン • examination, investigate"
199,"③ 湖 • みずうみ, コ • lake"
200,"③ 港 • みなと, コウ • harbor"
201,"③ 歯 • よわい.する, よわ.い, は, よわい, シ • tooth, cog"
202,"③ 集 • つど.う, あつ.める, あつ.まる, シュウ • gather, meet, congregate, swarm, flock"
203,"③ 勝 • かつ, すぐ.れる, まさ.る, -が.ち, か.つ, ショウ • victory, win, prevail, excel"
204,"③ 焼 • や.ける, -や.き, や.き-, や.き, や.く, ショウ • bake, burning"
205,"③ 植 • う.わる, う.える, ショク • plant"
206,"③ 森 • もり, シン • forest, woods"
207,"③ 晴 • は.らす, -ば.れ, は.れ-, は.れ, は.れる, セイ • clear up"
208,"③ 然 • さ, しか.し, しか.り, しか, ネン, ゼン • sort of thing, so, if so, in that case, well"
209,"③ 短 • みじか.い, タン • short, brevity, fault, defect, weak point"
210,"③ 登 • あ.がる, のぼ.る, チョウ, ショウ, ドウ, ト, トウ • ascend, climb up"
211,"③ 湯 • ゆ, トウ • hot water, bath, hot spring"
212,"③ 等 • -ら, など, ひと.しい, トウ • etc., and so forth, class (first), quality, equal, similar"
213,"③ 童 • わらべ, ドウ • juvenile, child"
214,"③ 番 • つが.い, バン • turn, number in a series"
215,"③ 悲 • かな.しむ, かな.しい, ヒ • jail cell, grieve, sad, deplore, regret"
216,"③ 費 • つい.える, つい.やす, ヒ • expense, cost, spend, consume, waste"
217,"③ 筆 • ふで, ヒツ • writing brush, writing, painting brush, handwriting"
218,"③ 貿 • ボウ • trade, exchange"
219,"③ 満 • み.たす, み.つ, み.ちる, バン, マン • full, enough, pride, satisfy"
220,"③ 無 • な.い, ブ, ム • nothingness, none, ain't, nothing, nil, not"
221,"③ 遊 • あそ.ばす, あそ.ぶ, ユ, ユウ • play"
222,"③ 葉 • は, ヨウ • leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece"
223,"③ 陽 • ひ, ヨウ • sunshine, yang principle, positive, male, heaven, daytime"
224,"③ 落 • お.とす, お.ち, お.ちる, ラク • fall, drop, come down"
225,"③ 量 • はか.る, リョウ • quantity, measure, weight, amount, consider, estimate, surmise"
226,"③ 暗 • くれ.る, くら.む, くら.い, アン • darkness, disappear, shade, informal, grow dark, be blinded"
227,"③ 園 • その, エン • park, garden, yard, farm"
228,"③ 遠 • とお.い, オン, エン • distant, far"
229,"③ 感 • カン • emotion, feeling, sensation"
230,"③ 禁 • キン • prohibition, ban, forbid"
231,"③ 試 • ため.す, こころ.みる, シ • test, try, attempt, experiment, ordeal"
232,"③ 準 • みずもり, ひと.しい, のり, なぞら.える, じゅん.ずる, じゅん.じる, ジュン • semi-, correspond to, proportionate to, conform, imitate"
233,"③ 新 • にい-, あら-, あら.た, あたら.しい, シン • new"
234,"③ 数 • わずらわ.しい, せ.める, しばしば, かぞ.える, かず, シュ, ソク, サク, ス, スウ • number, strength, fate, law, figures"
235,"③ 勢 • はずみ, いきお.い, ゼイ, セイ • forces, energy, military strength"
236,"③ 想 • おも.う, ソ, ソウ • concept, think, idea, thought"
237,"③ 鉄 • くろがね, テツ • iron"
